"LBDINSI.Code.or.Value","LBDINSI.Value.Description","LBDINSI.Count","LBDINSI.Cumulative","LBDINSI.Skip.to.Item"
"6 to 1390.02","Range of Values",3071,3071,NA
".","Missing",244,3315,NA
