"LBCBR7.Code.or.Value","LBCBR7.Value.Description","LBCBR7.Count","LBCBR7.Cumulative","LBCBR7.Skip.to.Item"
"10.78 to 352","Range of Values",265,265,NA
".","Missing",0,265,NA
