"URDHPMLC.Code.or.Value","URDHPMLC.Value.Description","URDHPMLC.Count","URDHPMLC.Cumulative","URDHPMLC.Skip.to.Item"
"0","At or above the detection limit",2816,2816,NA
"1","Below lower detection limit",5,2821,NA
".","Missing",458,3279,NA
