"LBCTCD.Code.or.Value","LBCTCD.Value.Description","LBCTCD.Count","LBCTCD.Cumulative","LBCTCD.Skip.to.Item"
"0.9899 to 28.38","Range of Values",290,290,NA
".","Missing",11,301,NA
