"LBDR59.Code.or.Value","LBDR59.Value.Description","LBDR59.Count","LBDR59.Cumulative","LBDR59.Skip.to.Item"
"1","Positive",56,56,NA
"2","Negative",1899,1955,NA
"3","Inadequate",15,1970,NA
".","Missing",274,2244,NA
