"WTSCI18.Code.or.Value","WTSCI18.Value.Description","WTSCI18.Count","WTSCI18.Cumulative","WTSCI18.Skip.to.Item"
"0 to 459502.12247","Range of Values",727,727,NA
".","Missing",51,778,NA
