"BIXS043K.Code.or.Value","BIXS043K.Value.Description","BIXS043K.Count","BIXS043K.Cumulative","BIXS043K.Skip.to.Item"
"321.51 to 926.97","Range of Values",4298,4298,NA
".","Missing",1031,5329,NA
