"CVDEXMER.Code.or.Value","CVDEXMER.Value.Description","CVDEXMER.Count","CVDEXMER.Cumulative","CVDEXMER.Skip.to.Item"
"14 to 90","Range of Values",5152,5152,NA
".","Missing",0,5152,NA
