"DS2IVC.Code.or.Value","DS2IVC.Value.Description","DS2IVC.Count","DS2IVC.Cumulative","DS2IVC.Skip.to.Item"
"0.5 to 18000","Range of Values",2201,2201,NA
".","Missing",3498,5699,NA
