"CVDS1SY.Code.or.Value","CVDS1SY.Value.Description","CVDS1SY.Count","CVDS1SY.Cumulative","CVDS1SY.Skip.to.Item"
"53 to 289","Range of Values",2517,2517,NA
".","Missing",2085,4602,NA
