"DXXPT8X.Code.or.Value","DXXPT8X.Value.Description","DXXPT8X.Count","DXXPT8X.Cumulative","DXXPT8X.Skip.to.Item"
"573.9 to 1151.7","Range of Values",3263,3263,NA
".","Missing",445,3708,NA
