"LBDTC2LC.Code.or.Value","LBDTC2LC.Value.Description","LBDTC2LC.Count","LBDTC2LC.Cumulative","LBDTC2LC.Skip.to.Item"
"0","detectable result",13,13,NA
"1","below detectable limit",1870,1883,NA
".","Missing",391,2274,NA
