"WTSHM18.Code.or.Value","WTSHM18.Value.Description","WTSHM18.Count","WTSHM18.Cumulative","WTSHM18.Skip.to.Item"
"0.0000000 to 752175.2488800","Range of Values",0,0,NA
"0","0",2547,2547,NA
".","Missing",0,2547,NA
