"SXQ250.Code.or.Value","SXQ250.Value.Description","SXQ250.Count","SXQ250.Cumulative","SXQ250.Skip.to.Item"
"0 to 40","Range of Values",392,392,NA
"77777","Refused",1,393,NA
"99999","Don't know",2,395,NA
".","Missing",2597,2992,NA
