"URXMB2.Code.or.Value","URXMB2.Value.Description","URXMB2.Count","URXMB2.Cumulative","URXMB2.Skip.to.Item"
"0.495 to 30.6","Range of Values",2486,2486,NA
".","Missing",119,2605,NA
