"AUXRR284.Code.or.Value","AUXRR284.Value.Description","AUXRR284.Count","AUXRR284.Cumulative","AUXRR284.Skip.to.Item"
"-16 to 31","Range of Values",1139,1139,NA
".","Missing",71,1210,NA
