"LBXSGTSI.Code.or.Value","LBXSGTSI.Value.Description","LBXSGTSI.Count","LBXSGTSI.Cumulative","LBXSGTSI.Skip.to.Item"
"4 to 1464","Range of Values",6891,6891,NA
".","Missing",554,7445,NA
