"URXPMM.Code.or.Value","URXPMM.Value.Description","URXPMM.Count","URXPMM.Cumulative","URXPMM.Skip.to.Item"
"11.1 to 12600","Range of Values",2655,2655,NA
".","Missing",324,2979,NA
