"URXMAD.Code.or.Value","URXMAD.Value.Description","URXMAD.Count","URXMAD.Cumulative","URXMAD.Skip.to.Item"
"8.5 to 2040","Range of Values",2541,2541,NA
".","Missing",214,2755,NA
