"DS1TIRON.Code.or.Value","DS1TIRON.Value.Description","DS1TIRON.Count","DS1TIRON.Cumulative","DS1TIRON.Skip.to.Item"
"0.0004 to 195","Range of Values",800,800,NA
".","Missing",8538,9338,NA
