"DR1IKCAL.Code.or.Value","DR1IKCAL.Value.Description","DR1IKCAL.Count","DR1IKCAL.Cumulative","DR1IKCAL.Skip.to.Item"
"0 to 4128","Range of Values",125737,125737,NA
".","Missing",766,126503,NA
