"WBXA081.Code.or.Value","WBXA081.Value.Description","WBXA081.Count","WBXA081.Cumulative","WBXA081.Skip.to.Item"
"-3.8267 to 0.9999","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
