"AUDTYR01.Code.or.Value","AUDTYR01.Value.Description","AUDTYR01.Count","AUDTYR01.Cumulative","AUDTYR01.Skip.to.Item"
"0 to 0.91","Range of Values",1890,1890,NA
".","Missing",156,2046,NA
