"LB2DAY.Code.or.Value","LB2DAY.Value.Description","LB2DAY.Count","LB2DAY.Cumulative","LB2DAY.Skip.to.Item"
"6 to 45","Range of Values",375,375,NA
".","Missing",0,375,NA
