"DXXPT71Y.Code.or.Value","DXXPT71Y.Value.Description","DXXPT71Y.Count","DXXPT71Y.Cumulative","DXXPT71Y.Skip.to.Item"
"107.3 to 298.4","Range of Values",2992,2992,NA
".","Missing",716,3708,NA
