"DUQ215Q.Code.or.Value","DUQ215Q.Value.Description","DUQ215Q.Count","DUQ215Q.Cumulative","DUQ215Q.Skip.to.Item"
"0 to 365","Range of Values",862,862,NA
"7777","Refused",2,864,NA
"9999","Don't know",0,864,NA
".","Missing",3979,4843,NA
