"DXXIMX.Code.or.Value","DXXIMX.Value.Description","DXXIMX.Count","DXXIMX.Cumulative","DXXIMX.Skip.to.Item"
"173.4 to 821.1","Range of Values",3302,3302,NA
".","Missing",406,3708,NA
