"WBXF030.Code.or.Value","WBXF030.Value.Description","WBXF030.Count","WBXF030.Cumulative","WBXF030.Skip.to.Item"
"865.5366 to 865.5366","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
