"PAQ759u.Code.or.Value","PAQ759u.Value.Description","PAQ759u.Count","PAQ759u.Cumulative","PAQ759u.Skip.to.Item"
"21","MARTIAL ARTS",15,15,NA
".","Missing",9469,9484,NA
