"OSD030cf.Code.or.Value","OSD030cf.Value.Description","OSD030cf.Count","OSD030cf.Cumulative","OSD030cf.Skip.to.Item"
"24","24",1,1,NA
"85","85 or older",0,1,NA
"77777","Refused",0,1,NA
"99999","Don't know",1,2,NA
".","Missing",5039,5041,NA
