"MCQ170k.Code.or.Value","MCQ170k.Value.Description","MCQ170k.Count","MCQ170k.Cumulative","MCQ170k.Skip.to.Item"
"1","Yes",127,127,NA
"2","No",170,297,NA
"7","Refused",0,297,NA
"9","Don't know",7,304,NA
".","Missing",9271,9575,NA
