"SSCYRRPS.Code.or.Value","SSCYRRPS.Value.Description","SSCYRRPS.Count","SSCYRRPS.Cumulative","SSCYRRPS.Skip.to.Item"
"0 to 1","Range of Values",4265,4265,NA
".","Missing",0,4265,NA
