"DSQIIODI.Code.or.Value","DSQIIODI.Value.Description","DSQIIODI.Count","DSQIIODI.Cumulative","DSQIIODI.Skip.to.Item"
"2 to 12500","Range of Values",1845,1845,NA
".","Missing",8139,9984,NA
