"TYXP117.Code.or.Value","TYXP117.Value.Description","TYXP117.Count","TYXP117.Cumulative","TYXP117.Skip.to.Item"
"-288 to 50","Range of Values",8385,8385,NA
".","Missing",84,8469,NA
