"AUXRR116.Code.or.Value","AUXRR116.Value.Description","AUXRR116.Count","AUXRR116.Cumulative","AUXRR116.Skip.to.Item"
"-52 to 76","Range of Values",2160,2160,NA
".","Missing",208,2368,NA
