"BIXC128K.Code.or.Value","BIXC128K.Value.Description","BIXC128K.Count","BIXC128K.Cumulative","BIXC128K.Skip.to.Item"
"14.3 to 141.62","Range of Values",4269,4269,NA
".","Missing",1042,5311,NA
