"OPDSAREX.Code.or.Value","OPDSAREX.Value.Description","OPDSAREX.Count","OPDSAREX.Cumulative","OPDSAREX.Skip.to.Item"
"0","No",2347,2347,NA
"1","Yes",37,2384,NA
".","Missing",550,2934,NA
