"DR2TVB1.Code.or.Value","DR2TVB1.Value.Description","DR2TVB1.Count","DR2TVB1.Cumulative","DR2TVB1.Skip.to.Item"
"0 to 10.78","Range of Values",8220,8220,NA
".","Missing",1423,9643,NA
