"DXDSTFAT.Code.or.Value","DXDSTFAT.Value.Description","DXDSTFAT.Count","DXDSTFAT.Cumulative","DXDSTFAT.Skip.to.Item"
"2752.8 to 85821.8","Range of Values",3820,3820,NA
".","Missing",1294,5114,NA
