"URXUAB.Code.or.Value","URXUAB.Value.Description","URXUAB.Count","URXUAB.Cumulative","URXUAB.Skip.to.Item"
"0.84 to 1140","Range of Values",2517,2517,NA
".","Missing",77,2594,NA
