"URDUTULC.Code.or.Value","URDUTULC.Value.Description","URDUTULC.Count","URDUTULC.Cumulative","URDUTULC.Skip.to.Item"
"0","At or above the detection limit",2232,2232,NA
"1","Below lower detection limit",432,2664,NA
".","Missing",91,2755,NA
