"CBQ698a.Code.or.Value","CBQ698a.Value.Description","CBQ698a.Count","CBQ698a.Cumulative","CBQ698a.Skip.to.Item"
"1","I don't have time",31,31,NA
"77","Refused",0,31,NA
"99","Don't know",0,31,NA
".","Missing",2014,2045,NA
