"OHD30LAS.Code.or.Value","OHD30LAS.Value.Description","OHD30LAS.Count","OHD30LAS.Cumulative","OHD30LAS.Skip.to.Item"
"0 to 10","Range of Values",2184,2184,NA
"99","Calculation cannot be determined",630,2814,NA
".","Missing",4316,7130,NA
