"TYXP039.Code.or.Value","TYXP039.Value.Description","TYXP039.Count","TYXP039.Cumulative","TYXP039.Skip.to.Item"
"-31 to 191","Range of Values",5583,5583,NA
".","Missing",2,5585,NA
