"URDMX4LC.Code.or.Value","URDMX4LC.Value.Description","URDMX4LC.Count","URDMX4LC.Cumulative","URDMX4LC.Skip.to.Item"
"0","At or above the detection limit",2518,2518,NA
"1","Below lower detection limit",196,2714,NA
".","Missing",117,2831,NA
