"FSD061.Code.or.Value","FSD061.Value.Description","FSD061.Count","FSD061.Cumulative","FSD061.Skip.to.Item"
"1","Yes",1298,1298,NA
"2","No",2397,3695,NA
"7","Refused",3,3698,NA
"9","Don't know",1,3699,NA
".","Missing",6838,10537,NA
