"CIQG12.Code.or.Value","CIQG12.Value.Description","CIQG12.Count","CIQG12.Cumulative","CIQG12.Skip.to.Item"
"1","Yes",11,11,"CIDGSCOR"
"2","No",106,117,""
".","Missing",811,928,""
