"OSD030bg.Code.or.Value","OSD030bg.Value.Description","OSD030bg.Count","OSD030bg.Cumulative","OSD030bg.Skip.to.Item"
"17 to 34","Range of Values",2,2,NA
"85","85 or older",0,2,NA
"77777","Refused",0,2,NA
"99999","Don't know",0,2,NA
".","Missing",4878,4880,NA
