"ECD010.Code.or.Value","ECD010.Value.Description","ECD010.Count","ECD010.Cumulative","ECD010.Skip.to.Item"
"15 to 44","Range of Values",3565,3565,NA
"14","14 years or younger",9,3574,NA
"45","45 years or older",11,3585,NA
"7777","Refused",7,3592,NA
"9999","Don't know",52,3644,NA
".","Missing",0,3644,NA
