"DR1TFIBE.Code.or.Value","DR1TFIBE.Value.Description","DR1TFIBE.Count","DR1TFIBE.Cumulative","DR1TFIBE.Skip.to.Item"
"0 to 136.3","Range of Values",8531,8531,NA
".","Missing",1282,9813,NA
