"DXXIMX.Code.or.Value","DXXIMX.Value.Description","DXXIMX.Count","DXXIMX.Cumulative","DXXIMX.Skip.to.Item"
"52.6 to 702.8","Range of Values",3276,3276,NA
".","Missing",432,3708,NA
