"DX2TRBMC.Code.or.Value","DX2TRBMC.Value.Description","DX2TRBMC.Count","DX2TRBMC.Cumulative","DX2TRBMC.Skip.to.Item"
"278.23 to 1205.63","Range of Values",443,443,NA
".","Missing",42,485,NA
