"FSD650ZC.Code.or.Value","FSD650ZC.Value.Description","FSD650ZC.Count","FSD650ZC.Cumulative","FSD650ZC.Skip.to.Item"
"1","Yes",971,971,""
"2","No",741,1712,"FSD675"
"7","Refused",0,1712,"FSD675"
"9","Don't know",1,1713,"FSD675"
".","Missing",8436,10149,""
