"AUDTYL11.Code.or.Value","AUDTYL11.Value.Description","AUDTYL11.Count","AUDTYL11.Cumulative","AUDTYL11.Skip.to.Item"
"0 to 2.59","Range of Values",2154,2154,NA
".","Missing",214,2368,NA
