"URXUAS.Code.or.Value","URXUAS.Value.Description","URXUAS.Count","URXUAS.Cumulative","URXUAS.Skip.to.Item"
"0.52 to 1470","Range of Values",2576,2576,NA
".","Missing",116,2692,NA
