"SSNR1_N.Code.or.Value","SSNR1_N.Value.Description","SSNR1_N.Count","SSNR1_N.Cumulative","SSNR1_N.Skip.to.Item"
"18.3 to 167","Range of Values",1654,1654,NA
".","Missing",124,1778,NA
