"BIXC067K.Code.or.Value","BIXC067K.Value.Description","BIXC067K.Count","BIXC067K.Cumulative","BIXC067K.Skip.to.Item"
"33.03 to 158.23","Range of Values",4709,4709,NA
".","Missing",1240,5949,NA
