"DXXPT68Y.Code.or.Value","DXXPT68Y.Value.Description","DXXPT68Y.Count","DXXPT68Y.Cumulative","DXXPT68Y.Skip.to.Item"
"98.8 to 336.6","Range of Values",3281,3281,NA
".","Missing",427,3708,NA
