"DR1IALCO.Code.or.Value","DR1IALCO.Value.Description","DR1IALCO.Count","DR1IALCO.Cumulative","DR1IALCO.Skip.to.Item"
"0 to 453.6","Range of Values",130285,130285,NA
".","Missing",879,131164,NA
