"BPQ080.Code.or.Value","BPQ080.Value.Description","BPQ080.Count","BPQ080.Cumulative","BPQ080.Skip.to.Item"
"1","Yes",1166,1166,""
"2","No",1999,3165,"BPQ110a"
"7","Refused",0,3165,"BPQ110a"
"9","Don't know",26,3191,"BPQ110a"
".","Missing",2853,6044,""
