"ALQ130.Code.or.Value","ALQ130.Value.Description","ALQ130.Count","ALQ130.Cumulative","ALQ130.Skip.to.Item"
"1 to 32","Range of Values",2820,2820,NA
"777","Refused",0,2820,NA
"999","Don't know",2,2822,NA
".","Missing",1951,4773,NA
