"DXDTOLE.Code.or.Value","DXDTOLE.Value.Description","DXDTOLE.Count","DXDTOLE.Cumulative","DXDTOLE.Skip.to.Item"
"12986.8 to 104820.7","Range of Values",5110,5110,NA
".","Missing",923,6033,NA
