"RFXC025.Code.or.Value","RFXC025.Value.Description","RFXC025.Count","RFXC025.Cumulative","RFXC025.Skip.to.Item"
"-7.001 to 3.639","Range of Values",51071,51071,NA
".","Missing",5,51076,NA
