"AUQ150.Code.or.Value","AUQ150.Value.Description","AUQ150.Count","AUQ150.Cumulative","AUQ150.Skip.to.Item"
"1","Yes",198,198,""
"2","No",2249,2447,"AUQ185"
"7","Refused",0,2447,"AUQ185"
"9","Don't know",1,2448,"AUQ185"
".","Missing",7661,10109,""
